Observed,Predicted
9449,4583
2378,1425
418,723
375,426
204,269
157,175
73,115
66,75
63,48
21,28
12,14
10,5
23307,10746
4338,3781
1547,2101
1079,1349
1066,930
647,667
630,490
409,366
148,275
144,206
127,154
108,113
67,81
46,56
42,36
31,20
9,7
9392,6349
4156,1803
421,879
342,507
217,316
168,206
120,138
109,93
106,62
49,41
23,26
20,15
5,8
3,2
10547,19757
6487,3863
2615,1467
1531,678
291,340
151,175
90,89
25,42
10,17
5,4
8586,6739
3735,2482
1113,1415
654,927
402,649
397,473
382,352
354,266
259,202
238,154
80,116
72,87
66,63
52,44
46,29
14,16
4,6
34776,12383
3874,2424
1635,959
272,474
124,260
117,152
34,91
34,56
32,34
16,21
12,12
8,7
6,3
3,1
16032,27522
6637,5756
6038,2384
4814,1225
624,699
573,424
143,266
83,171
74,111
54,71
38,46
17,28
15,17
13,9
5,4
3,1
14652,8168
2386,2285
1799,1103
776,632
466,392
226,254
88,169
56,113
45,75
41,49
23,31
17,18
10,9
9,3
20494,18431
6242,4368
2628,1919
1158,1022
670,597
310,367
192,231
153,147
104,93
49,57
18,34
10,19
9,9
6,3
31393,10151
945,2095
763,848
558,423
349,233
91,136
52,81
52,49
28,29
8,17
7,9
7,4
3,1
28649,3379
2468,1188
612,668
166,436
161,307
145,226
95,171
60,132
48,103
43,82
40,65
33,51
26,41
25,32
25,25
23,20
21,15
20,11
13,8
9,5
8,3
5,1
25083,28792
8254,7793
7942,3800
2875,2236
1989,1445
1930,988
808,701
589,510
402,378
258,283
217,214
101,162
72,123
62,93
29,70
25,52
22,38
18,28
16,19
13,13
11,8
11,4
5,2
4458,3640
2748,926
952,419
87,226
49,133
34,81
32,50
27,31
22,19
12,10
11,5
3,2
20941,8313
2862,2468
969,1226
570,714
562,448
253,292
103,194
101,128
85,84
26,53
25,31
22,16
12,5
9885,5502
928,1149
408,460
211,225
186,120
108,67
23,38
14,21
8,11
4,5
3,2
6127,6096
4049,2206
1404,1221
670,770
492,515
292,355
208,246
122,169
93,113
81,71
62,39
11,14
13877,8648
3893,2290
1065,1072
425,600
384,365
265,233
129,152
73,100
46,66
37,42
23,26
11,15
8,7
5,2
10081,19993
8789,5817
3810,2884
3548,1689
869,1073
802,712
431,484
319,333
223,229
223,156
92,104
52,66
28,39
27,20
4,6
19526,6573
5028,2432
1079,1405
743,936
723,669
723,499
223,383
217,299
169,236
167,188
87,151
77,121
48,97
43,77
40,61
37,48
34,37
32,27
32,20
24,13
19,8
6,3
24746,24230
7310,4683
1691,1788
1420,839
818,431
218,230
71,124
20,64
20,31
11,13
9,3
20497,17177
10480,4397
3402,2067
740,1178
405,740
400,492
286,339
221,239
219,172
214,124
104,90
44,66
42,47
18,34
17,24
11,16
11,11
9,6
4,3
3,1
18003,10400
8178,3073
1102,1543
626,916
544,590
368,398
276,275
183,194
93,137
73,96
38,67
30,45
28,29
18,18
17,9
6,3
15586,9837
7101,2467
679,1105
463,592
211,344
162,207
149,127
44,77
33,45
31,25
9,11
8,3
12314,15608
11393,4616
2946,2319
1305,1377
1100,886
584,597
349,414
232,290
107,205
100,144
97,100
85,68
48,44
33,26
8,13
7,4
15664,42699
10679,8791
9050,3477
4011,1675
784,880
559,479
357,261
166,138
17,67
14,27
12,6
14646,10849
4968,3768
2842,2037
1653,1261
622,830
488,562
262,384
177,260
115,171
108,106
46,57
38,20
10071,21352
8865,5676
8105,2645
2883,1467
790,882
393,553
342,353
166,225
147,142
41,85
24,48
19,23
17,6
34719,5072
5044,1509
154,762
124,454
120,293
99,199
92,138
59,98
38,69
37,49
29,34
27,23
25,15
22,9
17,5
5,2
15815,11364
2664,2722
1069,1204
520,645
396,379
367,234
130,148
108,95
59,60
52,38
29,23
6,13
4,6
3,2
23222,18356
9042,4417
2727,1945
714,1033
373,599
357,363
267,225
148,139
51,85
26,50
23,27
17,12
6,3
14034,15570
12622,4070
968,1879
828,1034
662,618
292,386
236,245
208,156
185,98
37,59
20,33
18,15
5,4
7276,13211
4395,4062
3656,2086
1948,1259
1406,822
531,561
457,393
306,279
184,199
115,141
49,99
49,68
43,44
32,27
17,14
4,4
9572,10067
4700,3287
1542,1762
1123,1105
963,749
379,532
304,388
288,289
248,217
242,164
142,124
97,93
66,70
58,51
34,36
34,25
8,16
6,9
4,3
12028,18128
11648,4353
8793,1927
1224,1032
369,606
262,374
83,236
67,151
50,96
37,59
33,35
29,19
16,9
7,3
27171,11310
7575,2665
2846,1191
242,652
237,395
143,254
139,169
53,115
53,80
29,56
24,39
22,27
14,18
13,12
13,8
8,5
5,3
3,1
38891,49388
13508,12677
7335,5788
2600,3158
1960,1873
1108,1159
865,730
591,461
280,285
277,169
140,93
37,43
4,11
20594,16229
11244,4036
1200,1848
1053,1027
576,627
316,405
259,270
195,184
183,126
73,87
34,60
24,40
20,26
18,17
8,10
6,5
4,2
20868,5472
4894,1550
386,758
226,440
198,277
84,183
61,124
48,85
36,59
31,40
20,27
19,17
13,10
11,5
9,2
9482,8447
2772,2898
2645,1564
1359,971
496,644
363,441
211,307
189,213
136,146
99,97
92,60
26,32
10,11
8212,11327
5123,4052
3665,2294
1757,1503
1434,1059
944,779
750,589
709,454
388,354
322,278
113,219
100,173
96,136
87,106
73,82
35,62
32,46
26,32
22,21
17,12
10,4
24995,35427
6270,6891
4971,2606
1004,1200
748,599
539,306
328,154
53,72
8,28
7,6
9980,19654
9169,6123
6111,3178
4336,1938
1238,1279
601,883
430,627
415,452
285,328
249,238
187,172
164,122
87,84
45,56
29,34
10,18
9,6
12618,13479
5597,3634
3149,1697
1180,937
478,559
229,346
150,216
146,134
49,80
34,44
30,21
7,6
23485,8684
8984,2166
404,990
202,548
190,334
149,214
104,142
58,96
57,65
29,44
27,30
26,19
23,12
15,7
3,4
3,1
27679,26477
10075,9414
7485,5262
4094,3393
2539,2346
1401,1689
951,1245
922,931
721,701
457,527
270,394
250,291
201,209
194,145
181,93
46,52
12,18
16885,26265
6505,6332
3999,2746
2663,1422
1056,796
853,460
192,266
108,149
60,78
18,34
10,9
30318,18896
3042,4796
1977,2212
1302,1231
907,751
817,483
425,320
189,216
123,146
102,99
86,66
30,43
21,27
8,15
6,7
5,2
11339,14213
8626,3604
2613,1635
1212,889
308,525
281,324
119,204
113,129
76,80
55,48
19,26
9,12
7,4
17458,28598
17158,7033
11168,3241
5433,1823
2254,1134
370,748
284,513
181,361
89,258
75,187
63,136
53,99
53,72
52,52
51,37
43,26
21,18
10,11
7,7
6,4
5,1
9763,18929
5882,6729
5661,3737
5305,2387
1998,1631
1445,1156
639,837
502,611
447,446
289,323
194,229
167,156
130,100
76,55
9,19
20804,13899
7161,4453
2918,2297
850,1371
838,874
449,575
277,382
276,251
150,160
66,96
36,49
31,16
11487,11679
5835,3751
5316,1987
3080,1233
589,827
457,581
199,419
187,308
167,228
123,170
78,126
70,93
56,67
44,47
27,32
22,20
20,11
8,4
10621,16497
6034,5555
5012,2930
2454,1770
2148,1134
695,744
342,488
318,313
100,189
82,100
37,33
35886,25981
7271,3223
1404,947
580,361
38,154
36,69
15,31
10,13
8,5
4,1
14562,23409
10253,6766
4548,3397
1827,2032
1266,1327
1043,912
963,648
467,470
394,346
250,257
206,191
116,142
89,104
73,76
51,54
42,38
38,25
13,15
4,8
3,3
24066,52374
10287,9597
9499,3617
7225,1705
1025,893
479,494
145,280
139,160
47,89
35,48
18,24
7,10
6,3
16011,4874
2714,1252
876,583
238,327
111,202
44,131
40,88
36,60
26,41
14,28
14,19
13,13
10,8
8,5
6,3
5,1
33053,12589
2515,3907
2246,1990
1778,1182
891,754
210,499
178,335
144,225
117,149
117,95
67,57
37,29
14,9
20549,39779
13746,9276
3713,4095
2541,2211
1916,1319
1097,833
664,544
654,363
388,245
310,165
106,111
26,73
25,47
12,28
10,16
8,8
6,2
28850,14953
15011,3351
816,1436
617,754
332,438
193,268
105,170
51,109
37,70
36,45
31,28
12,17
10,9
8,5
6,2
13566,14889
7126,5143
3036,2820
2211,1788
896,1217
619,862
456,625
407,458
369,338
314,248
228,180
223,127
140,87
48,55
14,30
9,10
33191,14566
5932,2837
1607,1101
205,528
141,280
117,155
93,88
15,50
15,27
14,14
14,6
6,2
13819,12414
5875,2845
771,1241
669,664
553,392
355,245
176,158
90,104
68,69
60,46
9,30
8,20
7,12
7,7
7,4
4,1
14554,20515
8486,4604
7122,1934
953,984
333,547
273,317
159,186
67,109
31,61
24,32
16,14
8,4
33136,31836
11537,4726
1136,1531
799,626
498,282
86,132
36,61
9,26
8,10
7,2
18064,10866
12132,2852
2738,1360
662,784
400,497
305,333
147,231
114,165
75,119
23,87
23,64
20,47
16,34
15,25
14,17
13,12
13,8
11,5
10,3
6,1
22750,15740
9252,4506
1332,2214
1295,1288
789,813
570,537
289,364
242,249
135,171
88,116
75,77
53,49
32,29
12,14
6,4
8365,10507
3255,4238
2666,2499
2316,1656
1828,1156
1119,828
671,597
606,427
162,298
155,197
107,116
38,46
18513,16320
15957,3100
1531,1221
647,606
234,337
174,200
107,124
19,78
18,50
16,32
14,21
13,13
8,8
7,5
5,2
4,1
17700,31926
9027,7342
7247,3271
3497,1799
1061,1100
817,716
771,486
438,339
301,242
300,174
59,127
46,92
45,68
30,49
21,36
14,25
13,18
11,12
10,8
5,5
4,3
3,1
13791,31569
10030,7902
7889,3532
1575,1886
1468,1092
640,656
480,399
390,240
310,140
21,75
18,34
11,9
12795,32432
11297,6334
11110,2431
2248,1145
997,590
101,316
52,169
40,88
26,42
23,17
13,4
22292,10963
4660,3224
548,1571
492,892
329,541
239,337
239,210
219,128
192,72
59,35
5,10
17407,16868
4039,4598
3816,2143
1138,1174
619,691
402,418
343,253
184,149
54,82
36,38
8,11
